tau,data_size,method1,method2,mean_distance,std_distance
0.9,5,true_model,VI_model,2.8284271247461907,4.440892098500626e-16
0.9,5,tabular_EDAC,random_model,1.6217254540930228,0.14582451803158933
0.9,5,tabular_robustEDAC,random_model,1.6938166234699683,0.13209675087654127
0.9,5,true_model,random_model,2.23606797749979,0.0
0.9,5,VI_model,random_model,2.23606797749979,0.0
0.9,25,tabular_EDAC,tabular_robustEDAC,0.30037599207277343,0.19482296760370682
0.9,25,tabular_EDAC,true_model,1.240507723578434,0.1306227227993324
0.9,25,tabular_EDAC,VI_model,2.274799029316441,0.2120388446771976
0.9,25,tabular_robustEDAC,true_model,1.3537993427174793,0.08425341273917551
0.9,25,tabular_robustEDAC,VI_model,2.264623073150296,0.24373622352180319
0.9,25,true_model,VI_model,2.8284271247461907,4.440892098500626e-16
0.9,25,tabular_EDAC,random_model,1.5332626897651016,0.13989546506513925
0.9,25,tabular_robustEDAC,random_model,1.5538858045269561,0.12155749649747365
0.9,25,true_model,random_model,2.23606797749979,0.0
0.9,25,VI_model,random_model,2.23606797749979,0.0
0.9,125,tabular_EDAC,tabular_robustEDAC,0.21455626771566522,0.059130075471108656
0.9,125,tabular_EDAC,true_model,1.2690668218169288,0.1143088468968733
0.9,125,tabular_EDAC,VI_model,2.050749452887341,0.15611663615058047
0.9,125,tabular_robustEDAC,true_model,1.3125759069065501,0.13224972990890277
0.9,125,tabular_robustEDAC,VI_model,2.050222006676556,0.17370286388910575
0.9,125,true_model,VI_model,2.8284271247461907,4.440892098500626e-16
0.9,125,tabular_EDAC,random_model,1.3071456163238995,0.1642594263820039
0.9,125,tabular_robustEDAC,random_model,1.2938949449000239,0.17360264794875943
0.9,125,true_model,random_model,2.23606797749979,0.0
0.9,125,VI_model,random_model,2.23606797749979,0.0
