tau,data_size,beta,method1,method2,distances
0.5,125,0.01,true_model,tabular_EDAC,"[2.039243238155342, 2.144811997421205, 1.74001778532392]"
0.5,125,0.01,true_model,tabular_robustEDAC,"[1.841795688929519, 2.0947478168771068, 1.9066405676184275]"
0.5,125,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.5,125,0.01,true_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,125,0.01,VI_model,tabular_EDAC,"[2.039243238155342, 2.144811997421205, 1.74001778532392]"
0.5,125,0.01,VI_model,tabular_robustEDAC,"[1.841795688929519, 2.0947478168771068, 1.9066405676184275]"
0.5,125,0.01,VI_model,true_model,"[0.0, 0.0, 0.0]"
0.5,125,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,125,0.01,tabular_EDAC,random_policy,"[2.0956581490998, 1.9628643394739103, 1.9986838961705458]"
0.5,125,0.01,tabular_robustEDAC,random_policy,"[2.0355727025734462, 2.0077358455703735, 2.02029810468909]"
0.5,125,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,125,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,5,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.9,5,0.01,tabular_EDAC,tabular_robustEDAC,"[1.5752267063719267, 1.3174704384886144, 1.2394189840547893]"
0.9,5,0.01,tabular_EDAC,true_model,"[0.92825215561507, 1.384428689159818, 1.415746920427303]"
0.9,5,0.01,tabular_EDAC,VI_model,"[0.6240870633483956, 1.9790509367875138, 2.001079591912936]"
0.9,5,0.01,tabular_robustEDAC,tabular_EDAC,"[1.5752267063719267, 1.3174704384886144, 1.2394189840547893]"
0.9,5,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.9,5,0.01,tabular_robustEDAC,true_model,"[1.5615946194398676, 0.6647302351651475, 1.5729502646338794]"
0.9,5,0.01,tabular_robustEDAC,VI_model,"[1.6807837612714287, 1.5626392224577927, 2.3467909254247448]"
0.9,5,0.01,true_model,tabular_EDAC,"[0.92825215561507, 1.384428689159818, 1.415746920427303]"
0.9,5,0.01,true_model,tabular_robustEDAC,"[1.5615946194398676, 0.6647302351651475, 1.5729502646338794]"
0.9,5,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.9,5,0.01,true_model,VI_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,5,0.01,VI_model,tabular_EDAC,"[0.6240870633483956, 1.9790509367875138, 2.001079591912936]"
0.9,5,0.01,VI_model,tabular_robustEDAC,"[1.6807837612714287, 1.5626392224577927, 2.3467909254247448]"
0.9,5,0.01,VI_model,true_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,5,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.9,5,0.01,tabular_EDAC,random_policy,"[1.979508844588, 2.14374560247787, 2.2030818090027062]"
0.9,5,0.01,tabular_robustEDAC,random_policy,"[1.8943129328752173, 2.0479775807359744, 2.1694784676055385]"
0.9,5,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,5,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,25,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.9,25,0.01,tabular_EDAC,tabular_robustEDAC,"[0.9187241474686689, 0.1944234464896236, 0.31196488781185333]"
0.9,25,0.01,tabular_EDAC,true_model,"[1.000197697069349, 1.0713584064686505, 0.9122835295893121]"
0.9,25,0.01,tabular_EDAC,VI_model,"[1.5333973075585423, 1.7742062106039465, 1.2000954361217877]"
0.9,25,0.01,tabular_robustEDAC,tabular_EDAC,"[0.9187241474686689, 0.1944234464896236, 0.31196488781185333]"
0.9,25,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.9,25,0.01,tabular_robustEDAC,true_model,"[0.2769916332878701, 0.8881938545069716, 0.9823403397391041]"
0.9,25,0.01,tabular_robustEDAC,VI_model,"[1.3034548052117825, 1.6699957342902423, 1.0495690076806428]"
0.9,25,0.01,true_model,tabular_EDAC,"[1.000197697069349, 1.0713584064686505, 0.9122835295893121]"
0.9,25,0.01,true_model,tabular_robustEDAC,"[0.2769916332878701, 0.8881938545069716, 0.9823403397391041]"
0.9,25,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.9,25,0.01,true_model,VI_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,25,0.01,VI_model,tabular_EDAC,"[1.5333973075585423, 1.7742062106039465, 1.2000954361217877]"
0.9,25,0.01,VI_model,tabular_robustEDAC,"[1.3034548052117825, 1.6699957342902423, 1.0495690076806428]"
0.9,25,0.01,VI_model,true_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,25,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.9,25,0.01,tabular_EDAC,random_policy,"[1.929969517017423, 2.051406801206322, 1.789430756232683]"
0.9,25,0.01,tabular_robustEDAC,random_policy,"[2.106457701248772, 2.0277663531140506, 1.815234555321802]"
0.9,25,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,25,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,125,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.9,125,0.01,tabular_EDAC,tabular_robustEDAC,"[0.09794427307029478, 0.1982915924313771, 0.06736357857351198]"
0.9,125,0.01,tabular_EDAC,true_model,"[0.3264017296686319, 0.28306925010567274, 0.3690756172556623]"
0.9,125,0.01,tabular_EDAC,VI_model,"[1.150509878009478, 1.4049539299342846, 1.0694399377296893]"
0.9,125,0.01,tabular_robustEDAC,tabular_EDAC,"[0.09794427307029478, 0.1982915924313771, 0.06736357857351198]"
0.9,125,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.9,125,0.01,tabular_robustEDAC,true_model,"[0.23400674246646408, 0.24952732723750207, 0.318949024372799]"
0.9,125,0.01,tabular_robustEDAC,VI_model,"[1.210486998745091, 1.2381509511827973, 1.1026671653999793]"
0.9,125,0.01,true_model,tabular_EDAC,"[0.3264017296686319, 0.28306925010567274, 0.3690756172556623]"
0.9,125,0.01,true_model,tabular_robustEDAC,"[0.23400674246646408, 0.24952732723750207, 0.318949024372799]"
0.9,125,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.9,125,0.01,true_model,VI_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,125,0.01,VI_model,tabular_EDAC,"[1.150509878009478, 1.4049539299342846, 1.0694399377296893]"
0.9,125,0.01,VI_model,tabular_robustEDAC,"[1.210486998745091, 1.2381509511827973, 1.1026671653999793]"
0.9,125,0.01,VI_model,true_model,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
0.9,125,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.9,125,0.01,tabular_EDAC,random_policy,"[2.0821603216605187, 2.1048207337806057, 2.090182330822665]"
0.9,125,0.01,tabular_robustEDAC,random_policy,"[2.1231758884150493, 2.089368178106427, 2.1284131163296234]"
0.9,125,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.9,125,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
