/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 68 | Reward: 25.0 | Policy Loss: -6.983791828155518 | critic Loss: 1.36100172996521 | Steps: 759
Episode: 69 | Reward: 16.0 | Policy Loss: -6.730698108673096 | critic Loss: 1.5304195880889893 | Steps: 775
Episode: 70 | Reward: 27.0 | Policy Loss: -6.976984977722168 | critic Loss: 0.7443414330482483 | Steps: 802
Episode: 71 | Reward: 22.0 | Policy Loss: -6.782317161560059 | critic Loss: 0.7970438003540039 | Steps: 824
Episode: 72 | Reward: 26.0 | Policy Loss: -6.772188186645508 | critic Loss: 0.9299276471138 | Steps: 850
Episode: 73 | Reward: 15.0 | Policy Loss: -6.806124687194824 | critic Loss: 1.0825278759002686 | Steps: 865
Episode: 74 | Reward: 19.0 | Policy Loss: -6.658792018890381 | critic Loss: 0.9080355763435364 | Steps: 884
Episode: 75 | Reward: 14.0 | Policy Loss: -6.651721954345703 | critic Loss: 0.9891170263290405 | Steps: 898
Episode: 76 | Reward: 16.0 | Policy Loss: -6.775249481201172 | critic Loss: 0.6380087733268738 | Steps: 914
Episode: 77 | Reward: 20.0 | Policy Loss: -6.705629825592041 | critic Loss: 1.500203013420105 | Steps: 934
Episode: 78 | Reward: 14.0 | Policy Loss: -6.743862628936768 | critic Loss: 0.6505942344665527 | Steps: 948
Episode: 79 | Reward: 15.0 | Policy Loss: -6.648090839385986 | critic Loss: 1.1927471160888672 | Steps: 963
Episode: 80 | Reward: 13.0 | Policy Loss: -6.561577320098877 | critic Loss: 1.2290360927581787 | Steps: 976
Episode: 81 | Reward: 19.0 | Policy Loss: -6.5452046394348145 | critic Loss: 1.2645411491394043 | Steps: 995
Episode: 82 | Reward: 15.0 | Policy Loss: -6.449097156524658 | critic Loss: 1.0614581108093262 | Steps: 1010
Episode: 83 | Reward: 13.0 | Policy Loss: -6.47922420501709 | critic Loss: 0.9255878925323486 | Steps: 1023
