/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 156 | Reward: 8.0 | Polciy Loss: -8.11081314086914 | Steps: 1471
Episode: 157 | Reward: 10.0 | Polciy Loss: -7.90383243560791 | Steps: 1481
Episode: 158 | Reward: 10.0 | Polciy Loss: -7.84388542175293 | Steps: 1491
Episode: 159 | Reward: 9.0 | Polciy Loss: -8.194704055786133 | Steps: 1500
Episode: 160 | Reward: 9.0 | Polciy Loss: -8.129413604736328 | Steps: 1509
Episode: 161 | Reward: 9.0 | Polciy Loss: -8.395072937011719 | Steps: 1518
Episode: 162 | Reward: 9.0 | Polciy Loss: -8.470775604248047 | Steps: 1527
Episode: 163 | Reward: 10.0 | Polciy Loss: -8.587509155273438 | Steps: 1537
Episode: 164 | Reward: 9.0 | Polciy Loss: -8.430937767028809 | Steps: 1546
Episode: 165 | Reward: 8.0 | Polciy Loss: -8.324606895446777 | Steps: 1554
Episode: 166 | Reward: 9.0 | Polciy Loss: -8.121747016906738 | Steps: 1563
Episode: 167 | Reward: 10.0 | Polciy Loss: -8.39178466796875 | Steps: 1573
Episode: 168 | Reward: 10.0 | Polciy Loss: -8.42798137664795 | Steps: 1583
Episode: 169 | Reward: 10.0 | Polciy Loss: -8.488208770751953 | Steps: 1593
Episode: 170 | Reward: 10.0 | Polciy Loss: -8.629915237426758 | Steps: 1603
Episode: 171 | Reward: 10.0 | Polciy Loss: -8.647236824035645 | Steps: 1613
Episode: 172 | Reward: 9.0 | Polciy Loss: -8.469324111938477 | Steps: 1622
Episode: 173 | Reward: 9.0 | Polciy Loss: -8.805607795715332 | Steps: 1631
Episode: 174 | Reward: 9.0 | Polciy Loss: -8.752568244934082 | Steps: 1640
Episode: 175 | Reward: 8.0 | Polciy Loss: -8.542020797729492 | Steps: 1648
Episode: 176 | Reward: 8.0 | Polciy Loss: -8.335844993591309 | Steps: 1656
Episode: 177 | Reward: 9.0 | Polciy Loss: -8.599128723144531 | Steps: 1665
Episode: 178 | Reward: 10.0 | Polciy Loss: -8.903913497924805 | Steps: 1675
Episode: 179 | Reward: 10.0 | Polciy Loss: -8.454571723937988 | Steps: 1685
Episode: 180 | Reward: 8.0 | Polciy Loss: -8.244482040405273 | Steps: 1693
Episode: 181 | Reward: 10.0 | Polciy Loss: -8.44533920288086 | Steps: 1703
Episode: 182 | Reward: 10.0 | Polciy Loss: -8.317296028137207 | Steps: 1713
Episode: 183 | Reward: 9.0 | Polciy Loss: -8.733457565307617 | Steps: 1722
Episode: 184 | Reward: 9.0 | Polciy Loss: -8.618818283081055 | Steps: 1731
Episode: 185 | Reward: 9.0 | Polciy Loss: -8.559748649597168 | Steps: 1740
Episode: 186 | Reward: 8.0 | Polciy Loss: -8.773595809936523 | Steps: 1748
Episode: 187 | Reward: 9.0 | Polciy Loss: -9.001300811767578 | Steps: 1757
Episode: 188 | Reward: 9.0 | Polciy Loss: -9.208824157714844 | Steps: 1766
Episode: 189 | Reward: 9.0 | Polciy Loss: -8.766051292419434 | Steps: 1775
Episode: 190 | Reward: 8.0 | Polciy Loss: -8.823577880859375 | Steps: 1783
Episode: 191 | Reward: 9.0 | Polciy Loss: -8.93808650970459 | Steps: 1792
Episode: 192 | Reward: 10.0 | Polciy Loss: -8.670243263244629 | Steps: 1802
Episode: 193 | Reward: 10.0 | Polciy Loss: -8.634581565856934 | Steps: 1812
Episode: 194 | Reward: 9.0 | Polciy Loss: -8.759622573852539 | Steps: 1821
Episode: 195 | Reward: 9.0 | Polciy Loss: -8.636209487915039 | Steps: 1830
Episode: 196 | Reward: 8.0 | Polciy Loss: -8.911259651184082 | Steps: 1838
Episode: 197 | Reward: 9.0 | Polciy Loss: -8.791526794433594 | Steps: 1847
Episode: 198 | Reward: 9.0 | Polciy Loss: -8.820515632629395 | Steps: 1856
Episode: 199 | Reward: 9.0 | Polciy Loss: -8.701848983764648 | Steps: 1865
Episode: 200 | Reward: 10.0 | Polciy Loss: -8.74582290649414 | Steps: 1875
